month,employment,change
2007-01-01,137497000,234000
2007-02-01,137582000,85000
2007-03-01,137796000,214000
2007-04-01,137855000,59000
2007-05-01,138008000,153000
2007-06-01,138085000,77000
2007-07-01,138055000,-30000
2007-08-01,138027000,-28000
2007-09-01,138123000,96000
2007-10-01,138201000,78000
2007-11-01,138307000,106000
2007-12-01,138411000,104000
2008-01-01,138419000,8000
2008-02-01,138338000,-81000
2008-03-01,138283000,-55000
2008-04-01,138054000,-229000
2008-05-01,137870000,-184000
2008-06-01,137716000,-154000
2008-07-01,137503000,-213000
2008-08-01,137226000,-277000
2008-09-01,136783000,-443000
2008-10-01,136308000,-475000
2008-11-01,135549000,-759000
2008-12-01,134842000,-707000
2009-01-01,134055000,-787000
2009-02-01,133351000,-704000
2009-03-01,132549000,-802000
2009-04-01,131845000,-704000
2009-05-01,131491000,-354000
2009-06-01,131022000,-469000
2009-07-01,130680000,-342000
2009-08-01,130484000,-196000
2009-09-01,130255000,-229000
2009-10-01,130046000,-209000
2009-11-01,130058000,12000
2009-12-01,129781000,-277000
2010-01-01,129799000,18000
2010-02-01,129726000,-73000
2010-03-01,129919000,193000
2010-04-01,130140000,221000
2010-05-01,130662000,522000
2010-06-01,130522000,-140000
2010-07-01,130444000,-78000
2010-08-01,130428000,-16000
2010-09-01,130365000,-63000
2010-10-01,130632000,267000
2010-11-01,130761000,129000
2010-12-01,130834000,73000
2011-01-01,130878000,44000
2011-02-01,131060000,182000
2011-03-01,131314000,254000
2011-04-01,131637000,323000
2011-05-01,131718000,81000
2011-06-01,131952000,234000
2011-07-01,132024000,72000
2011-08-01,132136000,112000
2011-09-01,132369000,233000
2011-10-01,132578000,209000
2011-11-01,132723000,145000
2011-12-01,132924000,201000
2012-01-01,133272000,348000
2012-02-01,133505000,233000
2012-03-01,133769000,264000
2012-04-01,133841000,72000
2012-05-01,133958000,117000
2012-06-01,134026000,68000
2012-07-01,134182000,156000
2012-08-01,134355000,173000
2012-09-01,134549000,194000
2012-10-01,134702000,153000
2012-11-01,134832000,130000
2012-12-01,135075000,243000
2013-01-01,135282000,207000
2013-02-01,135547000,265000
2013-03-01,135703000,156000
2013-04-01,135882000,179000
2013-05-01,136122000,240000
2013-06-01,136280000,158000
2013-07-01,136391000,111000
2013-08-01,136651000,260000
2013-09-01,136852000,201000
2013-10-01,137062000,210000
2013-11-01,137283000,221000
2013-12-01,137376000,93000
2014-01-01,137550000,174000
2014-02-01,137732000,182000
2014-03-01,137993000,261000
2014-04-01,138304000,311000
2014-05-01,138556000,252000
2014-06-01,138862000,306000
2014-07-01,139058000,196000
2014-08-01,139284000,226000
2014-09-01,139568000,284000
2014-10-01,139823000,255000
2014-11-01,140130000,307000
2014-12-01,140381000,251000
2015-01-01,140592000,211000
2015-02-01,140859000,267000
2015-03-01,140937000,78000
2015-04-01,141219000,282000
2015-05-01,141545000,326000
2015-06-01,141736000,191000
2015-07-01,141992000,256000
2015-08-01,142156000,164000
2015-09-01,142244000,88000
2015-10-01,142595000,351000
2015-11-01,142859000,264000
2015-12-01,143093000,234000
2016-01-01,143196000,103000
2016-02-01,143453000,257000
2016-03-01,143688000,235000
2016-04-01,143862000,174000
2016-05-01,143896000,34000
2016-06-01,144181000,285000
2016-07-01,144506000,325000
2016-08-01,144681000,175000
2016-09-01,144945000,264000
2016-10-01,145085000,140000
2016-11-01,145257000,172000
2016-12-01,145437000,180000
